Pole name,PoleName,SLat,SLon,PLat,PLon,A95,N,PolarityZone,PmagRef,AgeNominal,AgeLower,AgeUpper,gaussian_2sigma,,AgeInfo,AgeRef,Q
Abitibi,Abitibi,,,48.8,215.5,14.1,7,,\citet{ernst1993paleomagnetism},$1141 \pm 2.0$,,,2,gaussian,U-Pb date on dike,\citet{krogh1987precise},
Osler R1,Osler reverse (lower),48.8,272.34,40.9,218.6,4.8,30,Alona Bay reversed polarity zone,\citet{swanson2014confirmation},,1105.15,1110,,uniform,older than 1105 Ma Osler_R2,,6
Osler R2,Osler reverse (upper),48.59,271.81,42.5,201.6,3.7,59,Alona Bay reversed polarity zone,"\citet{swanson2014confirmation,halls1974paleomagnetic}",$1105.15 \pm 0.33$,,,0.33,gaussian,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date on a rhyolite at Agate Point (this study),\citet{swansonramezani},7
Osler N,Osler normal (upper),48.64,271.91,34.4,176.5,33.7,2,Portage Lake normal-polarity zone,\citet{halls1974paleomagnetic},,1090,1102,,uniform,poorly known: significantly younger than the 1105 Ma Agate Point Rhyolite date,,
MP lowerR1,Mamainse lower reversed 1,47.09,275.28,49.5,227,5.3,24,Alona Bay reversed polarity zone,\citet{swanson2014magmatic},,1106,1112,,uniform,likely older than 1107 � 2 Ma,,
MP lowerR2,Mamainse lower reversed 2,0,0,37.5,205.2,4.5,14,Alona Bay reversed polarity zone,\citet{swanson2014magmatic},,1102,1108,,uniform,around 1105 Ma based on comparison with paleomagnetic data from the Osler Volcanic Group,,
MP lowerNupperR,Mamainse lower normal and upper reversed,0,0,36.1,189.7,4.9,24,Flour Bay normal and reversed polarity zones,\citet{swanson2014magmatic},$1100.36 \pm 0.25$,,,0.25,gaussian,Age constrained by 206Pb/238U date of 1100.36 � 0.25 Ma on Flour Bay tuff,\citet{swanson2014magmatic},
MP upperN,Mamainse upper normal,0,0,31.2,183.2,2.5,34,Portage Lake normal polarity zone,\citet{swanson2014magmatic},,1092,1098,,uniform,around 1095 Ma based on comparison with paleomagnetic data from the North Shore Volcanic Group,,
Grand Portage Basalts,Grand Portage Basalts,0,0,46.6,201.5,6.8,13,Alona Bay reversed polarity zone,"\citet{books1968magnetization, tauxe2009paleosecular}",,1105.28,1108,,uniform,close to but slightly older than 1105.60 � 0.32 Ma based on data from Red Rock Rhyolite (this study),\citet{swansonramezani},
NSVG nswu,North Shore Volcanic Group,0,0,35.8,182.1,3.1,47,Portage Lake normal polarity zone,\citet{tauxe2009paleosecular},,1094.2,1095.8,0.8,uniform,U-Pb dates on Lakewood Icelandite 1095.82 +/- 0.29 and Palisade Rhyolite 1094.2 +/- 0.2 (this study),\citet{swansonramezani},
PLV,Portage Lake Volcanics,0,0,25.6,185.9,2.9,51,Portage Lake normal polarity zone,"\citet{books1972paleomagnetism, hnat2006primary}",,1091.67,1093.36,,uniform,U-Pb dates on Copper City flow 1093.36 � 0.53 Ma and Greenstone Flow 1091.67 � 0.29 Ma (this study),\citet{swansonramezani},
SLB,Schroeder Lutsen Basalts,0,0,27.1,187.8,3,50,Portage Lake normal polarity zone,"\citet{tauxe2009paleosecular, fairchild2016end}",,1085,1091.5,,uniform,"U-Pb date on Beaver Bay Complex provides maximum age constraint of 1091.48 +/- 0.21 Ma (Fairchild et al., 2016)",\citet{fairchild2016end},
LST,Lake Shore Traps,0,0,23.1,186.4,4,31,Portage Lake normal polarity zone,"\citet{diehl1994paleomagnetic, kulakov2013paleomagnetism}",,1084,1091,,uniform,"U-Pb date on Lake Shore Trap andesitic flow 1085.47 +/- 0.32 Ma (Fairchild et al., 2016)",\citet{fairchild2016end},
MI,Michipicoten Island Formation,0,0,17,174.7,4.4,23,Portage Lake normal polarity zone,"\citet{palmer1987paleomagnetism, fairchild2016end}",$1083.9 \pm 0.4$,,,0.4,gaussian,"U-Pb dates on the West Sand Bay tuff 1084.39 � 0.21 Ma and the Davieux Island Rhyolite 1083.52 � 0.23 Ma bracket the VGPs (Fairchild et al., 2016)",\citet{fairchild2016end},
Freda,Freda,,,2.2,179,4.2,20,Portage Lake normal polarity zone,\citet{henry1977paleomagnetism},,1070,1085.47,,uniform,younger that the Lake Shore Traps and deposited during the last ,,
Halliburton,Haliburton,,,-32.6,141.9,6.3,17,,\citet{warnock2000using},,1000,1030,,uniform,,,
